,names,descriptions,titles,research,links,gs_names,affiliation,scholar_id,cited_by,url_pic,email_domain,nsf_id,score
38,"Downey, Austin",Assistant Professor,Faculty,"['Real-Time Systems, Structural Health Monitoring']","['https://www.nsf.gov/pubs/2004/nsf04522/nsf04522.htm', 'https://www.nsf.gov/pubs/2011/nsf11516/nsf11516.htm', 'https://www.nsf.gov/pubs/2008/nsf08611/nsf08611.htm', 'https://www.nsf.gov/pubs/2010/nsf10515/nsf10515.htm', 'https://www.nsf.gov/pubs/2003/nsf03512/nsf03512.htm', 'https://www.nsf.gov/pubs/2009/nsf09610/nsf09610.htm', 'https://www.nsf.gov/pubs/2004/nsf04609/nsf04609.htm', 'https://www.nsf.gov/pubs/2016/nsf16608/nsf16608.htm', 'https://www.nsf.gov/pubs/2007/nsf07556/nsf07556.htm', 'https://www.nsf.gov/pubs/2005/nsf05570/nsf05570.htm']",Austin RJ Downey,University of South Carolina,LgHSdLEAAAAJ,721,https://scholar.google.com/citations?view_op=medium_photo&user=LgHSdLEAAAAJ,@cec.sc.edu,"['nsf04522', 'nsf11516', 'nsf08611', 'nsf10515', 'nsf03512', 'nsf09610', 'nsf04609', 'nsf16608', 'nsf07556', 'nsf05570']","[0.8240644931793213, 0.8123456239700317, 0.8112136721611023, 0.8112136721611023, 0.8025160431861877, 0.7999367117881775, 0.7975756525993347, 0.7941957116127014, 0.7936824560165405, 0.7924116849899292]"
39,"Dryer, Frederick  L. ","Educational Foundation Distinguished Research Professor, Mechanical Engineering ",Faculty,"['300 Main Street , Rm A 122University of South CarolinaColumbia , SC 29208Dr . Dryer has over 45 years of applications driven fundamental research experience in thermal sciences heat transfer , fluid dynamics , physical chemistry , and chemical kinetics relevant to space and air breathing propulsion , fossil and renewable energy conversion related to ground transportation and stationary power generation , combustion related pollutant mitigation , and fire safety . Dr . Dryer s current research interests include chemistry chemical kinetics of fuels and hazardous waste materials as related to ignition , combustion , and emissions generation abatement petroleum derived fuels , including gasoline , diesel , gas turbine , and heavy fuel oil combustion properties non petroleum derived alternative fuels , their production , their chemical kinetic properties , and their ability to address U . S . energy security and reduction in net carbon cycle emissions as well as other pollutant concerns fire safety related issues on earth and in micro gravity environments solid phase gas phase interactions as related to particle burning phenomena and nano catalyst materials emissions from internal combustion engines , including hydrocarbons , nitrogen oxides , aerosol particulates emissions interactions including chlorine , sulfur and ash metals component effects in stationary energy conversion , chemical processing , and incineration .']","['https://www.nsf.gov/pubs/2019/nsf19525/nsf19525.htm', 'https://www.nsf.gov/pubs/2020/nsf20501/nsf20501.htm', 'https://www.nsf.gov/pubs/2017/nsf17517/nsf17517.htm', 'https://www.nsf.gov/pubs/2016/nsf16518/nsf16518.htm', 'https://www.nsf.gov/pubs/2018/nsf18521/nsf18521.htm', 'https://www.nsf.gov/pubs/2010/nsf10549/nsf10549.htm', 'https://www.nsf.gov/pubs/2020/nsf20500/nsf20500.htm', 'https://www.nsf.gov/pubs/2019/nsf19509/nsf19509.htm', 'https://www.nsf.gov/pubs/2009/nsf09606/nsf09606.htm', 'https://www.nsf.gov/pubs/2012/nsf12549/nsf12549.htm']",,,,,,,"['nsf19525', 'nsf20501', 'nsf17517', 'nsf16518', 'nsf18521', 'nsf10549', 'nsf20500', 'nsf19509', 'nsf09606', 'nsf12549']","[0.9084808230400085, 0.8950744867324829, 0.8903648853302002, 0.8515375852584839, 0.8407235145568848, 0.8204591274261475, 0.8116493225097656, 0.8110656142234802, 0.8088473677635193, 0.8054392337799072]"
40,"Eastman, Caroline M. ","Professor, Computer Science & Engineering",Staff,"['Professor Eastman s research interests focus on effective and efficient algorithms for information retrieval . When you want information , how easily and quickly can you find it ? Is it useful and correct when you do find it ? Her work in this area has addressed a broad spectrum of problems , from efficient file organizations to search interfaces and user interactions . She has also been working with colleagues on problems in database security . She is PI and co director with Professor Bowles for an NSF Research Experiences for Undergraduates site .']","['https://www.nsf.gov/pubs/2015/nsf15574/nsf15574.htm', 'https://www.nsf.gov/pubs/2014/nsf14596/nsf14596.htm', 'https://www.nsf.gov/pubs/2018/nsf18570/nsf18570.htm', 'https://www.nsf.gov/pubs/2016/nsf16581/nsf16581.htm', 'https://www.nsf.gov/pubs/2017/nsf17572/nsf17572.htm', 'https://www.nsf.gov/pubs/2013/nsf13580/nsf13580.htm', 'https://www.nsf.gov/pubs/2004/nsf04520/nsf04520.htm', 'https://www.nsf.gov/pubs/2015/nsf15515/nsf15515.htm', 'https://www.nsf.gov/pubs/2004/nsf04500/nsf04500.htm', 'https://www.nsf.gov/pubs/2016/nsf16515/nsf16515.htm']",,,,,,,"['nsf15574', 'nsf14596', 'nsf18570', 'nsf16581', 'nsf17572', 'nsf13580', 'nsf04520', 'nsf15515', 'nsf04500', 'nsf16515']","[0.8491451740264893, 0.8491451740264893, 0.8491451740264893, 0.8491451740264893, 0.8491451740264893, 0.8460373282432556, 0.8380758762359619, 0.8379743695259094, 0.834781289100647, 0.834667980670929]"
41,"Eberth, John F.","Associate Professor, Cell Biology and Anatomy",Faculty,"['biomechanics, mechanobiology, cardiovascular, biomedical engineering']","['https://www.nsf.gov/pubs/2003/nsf03560/nsf03560.htm', 'https://www.nsf.gov/pubs/2006/nsf06566/nsf06566.htm', 'https://www.nsf.gov/pubs/2008/nsf08513/nsf08513.htm', 'https://www.nsf.gov/pubs/2010/nsf10525/nsf10525.htm', 'https://www.nsf.gov/pubs/2011/nsf11523/nsf11523.htm', 'https://www.nsf.gov/pubs/2007/nsf07556/nsf07556.htm', 'https://www.nsf.gov/pubs/2005/nsf05611/nsf05611.htm', 'https://www.nsf.gov/pubs/2002/nsf02189/nsf02189.htm', 'https://www.nsf.gov/pubs/2004/nsf04572/nsf04572.htm']",John F. Eberth,"Associate Professor, University of South Carolina School of Medicine",ajuWL4EAAAAJ,1333,https://scholar.google.com/citations?view_op=medium_photo&user=ajuWL4EAAAAJ,@uscmed.sc.edu,"['nsf03560', 'nsf06566', 'nsf08513', 'nsf10525', 'nsf11523', 'nsf07556', 'nsf05611', 'nsf02189', 'nsf04572']","[0.8423290252685547, 0.8395873308181763, 0.8370570540428162, 0.8362025618553162, 0.8209676742553711, 0.8199833631515503, 0.8151347637176514, 0.8057935833930969, 0.8030211329460144]"
42,"Ebner, Armin D.","Research Professor, Chemical Engineering",Faculty,"['Ph . D . , University of South Carolina , 2000B . S . , Catholic University of Chile , Chile , 1995Dr . Ebner s major research interest is the application of magnetic fields to the separation , collection and or manipulation of magnetic particles from a fluid medium , with particular emphasis in the use of high gradient magnetic separation HGMS principles . This technique consists on the use of fine ferromagnetic elements that as a result of the application of an external magnetic field become energized and create magnetic gradients large enough to collect particles that because of their small size and or low magnetism their collection cannot be otherwise realized . Today major emphasis and potential for HGMS is found in the medical area where the technique can be used to assist magnetic drug targeting for cancer treatment , restenosis , embolization control as well as for rapid detoxification .']","['https://www.nsf.gov/pubs/2005/nsf05611/nsf05611.htm', 'https://www.nsf.gov/pubs/2016/nsf16518/nsf16518.htm', 'https://www.nsf.gov/pubs/2003/nsf03560/nsf03560.htm', 'https://www.nsf.gov/pubs/2010/nsf10533/nsf10533.htm', 'https://www.nsf.gov/pubs/2006/nsf06566/nsf06566.htm', 'https://www.nsf.gov/pubs/2018/nsf18564/nsf18564.htm', 'https://www.nsf.gov/pubs/2020/nsf20500/nsf20500.htm', 'https://www.nsf.gov/pubs/2018/nsf18521/nsf18521.htm', 'https://www.nsf.gov/pubs/2019/nsf19509/nsf19509.htm', 'https://www.nsf.gov/pubs/2003/nsf03525/nsf03525.htm']",,,,,,,"['nsf05611', 'nsf16518', 'nsf03560', 'nsf10533', 'nsf06566', 'nsf18564', 'nsf20500', 'nsf18521', 'nsf19509', 'nsf03525']","[0.7587968111038208, 0.7569906711578369, 0.7499207854270935, 0.7494375109672546, 0.7467061877250671, 0.7452586889266968, 0.7413754463195801, 0.7398690581321716, 0.7392228245735168, 0.7388644218444824]"
43,"Eslambolchi Moghadam, Sara",Postdoctoral Researcher,Staff,"['Natural product, Medicinal plant, Drug discovery, Wound Healing']","['https://www.nsf.gov/pubs/2008/nsf08513/nsf08513.htm', 'https://www.nsf.gov/pubs/2010/nsf10525/nsf10525.htm', 'https://www.nsf.gov/pubs/2002/nsf02189/nsf02189.htm', 'https://www.nsf.gov/pubs/2007/nsf07556/nsf07556.htm', 'https://www.nsf.gov/pubs/2007/nsf07598/nsf07598.htm', 'https://www.nsf.gov/pubs/2006/nsf06587/nsf06587.htm', 'https://www.nsf.gov/pubs/2005/nsf05607/nsf05607.htm', 'https://www.nsf.gov/pubs/2011/nsf11523/nsf11523.htm', 'https://www.nsf.gov/pubs/2011/nsf11545/nsf11545.htm', 'https://www.nsf.gov/pubs/2020/nsf20564/nsf20564.htm']",Sara Eslambolchi  Moghadam,University of South Carolina,0McOAkEAAAAJ,80,https://scholar.google.com/citations?view_op=medium_photo&user=0McOAkEAAAAJ,@mailbox.sc.edu,"['nsf08513', 'nsf10525', 'nsf02189', 'nsf07556', 'nsf07598', 'nsf06587', 'nsf05607', 'nsf11523', 'nsf11545', 'nsf20564']","[0.8083978891372681, 0.8079115152359009, 0.8064135313034058, 0.7986056208610535, 0.7928698062896729, 0.7928698062896729, 0.7910910844802856, 0.786253035068512, 0.7835005521774292, 0.7820323705673218]"
44,"Fan, Daping","Professor, School of Medicine, Biomedical Engineering",Faculty,"['School of Medicine Bldg 1 Room B 12 6439 Garners Ferry Road Columbia , SC 29209The rupture of vulnerable atherosclerotic plaques and the resulting thrombosis are the direct causes of heart attack and stroke , the No . 1 and No . 3 killers in the United States and many other developed countries . Atherosclerosis is both a lipid deposit disease and a chronic inflammatory condition . Macrophages are the primary cholesterol sinks as well as dominant inflammation machines in atherogenesis . Macrophage foam cell formation and inflammatory responses form a vicious cycle and promote atherogenesis . The goal of the research in our laboratory is to develop strategies to disrupt the vicious cycle and promote the regression of atherosclerotic plaques through restoring macrophage cholesterol homeostasis and controlling macrophage inflammation . Myeloid cells are the major cell component of the tumor microenvironment TME , whose interaction with malignant cells determines the aggressiveness of the tumor . Myeloid cells in TME are mainly myeloid derived suppressor cells MDSCs , dendritic cells , and tumor associated macrophages TAMs . In advanced tumors , due to the unique features in TME including hypoxia , abundance in cytokines chemokines and Toll like receptor TLR ligands , and an unusual metabolic profile , a complex signaling network tunes the dynamics and function of the myeloid cells in favor of cancer progression . Our research is focused on understanding this signal network and developing strategies to manipulate it to improve cancer treatment .']","['https://www.nsf.gov/pubs/2016/nsf16573/nsf16573.htm', 'https://www.nsf.gov/pubs/2017/nsf17589/nsf17589.htm', 'https://www.nsf.gov/pubs/2011/nsf11545/nsf11545.htm', 'https://www.nsf.gov/pubs/2018/nsf18585/nsf18585.htm', 'https://www.nsf.gov/pubs/2013/nsf13510/nsf13510.htm', 'https://www.nsf.gov/pubs/2010/nsf10525/nsf10525.htm', 'https://www.nsf.gov/pubs/2004/nsf04520/nsf04520.htm', 'https://www.nsf.gov/pubs/2020/nsf20541/nsf20541.htm', 'https://www.nsf.gov/pubs/2020/nsf20505/nsf20505.htm', 'https://www.nsf.gov/pubs/2007/nsf07534/nsf07534.htm']",Daping Fan,University of South Carolina,#NAME?,11083,https://scholar.google.com/citations?view_op=medium_photo&user=-DpoShMAAAAJ,@uscmed.sc.edu,"['nsf16573', 'nsf17589', 'nsf11545', 'nsf18585', 'nsf13510', 'nsf10525', 'nsf04520', 'nsf20541', 'nsf20505', 'nsf07534']","[0.7387719750404358, 0.7320862412452698, 0.7305492758750916, 0.7301740050315857, 0.7240889072418213, 0.7224434614181519, 0.7197028398513794, 0.718317985534668, 0.7120455503463745, 0.7091829776763916]"
45,"Farkas, Csilla "," Professor and Associate Dean for Diversity, Engagement, and Inclusion, Computer Science and Engineering",Faculty,['information security'],"['https://www.nsf.gov/pubs/2007/nsf07500/nsf07500.htm', 'https://www.nsf.gov/pubs/2008/nsf08521/nsf08521.htm', 'https://www.nsf.gov/pubs/2006/nsf06517/nsf06517.htm', 'https://www.nsf.gov/pubs/2012/nsf12598/nsf12598.htm', 'https://www.nsf.gov/pubs/2004/nsf04524/nsf04524.htm', 'https://www.nsf.gov/pubs/2019/nsf19572/nsf19572.htm', 'https://www.nsf.gov/pubs/2016/nsf16580/nsf16580.htm', 'https://www.nsf.gov/pubs/2017/nsf17576/nsf17576.htm', 'https://www.nsf.gov/pubs/2005/nsf05518/nsf05518.htm', 'https://www.nsf.gov/pubs/2018/nsf18572/nsf18572.htm']",Csilla Farkas,"Associate Professor of Computer Science and Engineering, South Carolina Univeristy",rDJjJgoAAAAJ,1549,https://scholar.google.com/citations?view_op=medium_photo&user=rDJjJgoAAAAJ,@cec.sc.edu,"['nsf07500', 'nsf08521', 'nsf06517', 'nsf12598', 'nsf04524', 'nsf19572', 'nsf16580', 'nsf17576', 'nsf05518', 'nsf18572']","[0.8056259751319885, 0.7951415777206421, 0.7936871647834778, 0.7819624543190002, 0.7722172737121582, 0.7721646428108215, 0.7719173431396484, 0.7700814008712769, 0.7700212597846985, 0.7569637298583984]"
46,"Farouk, Tanvir   I.","Associate Professor, Director of Graduate Studies, Mechanical Engineering",Faculty,"['Plasma, Energy, Combustion, Thermal-Fluid Science, Multi-physics Modeling']","['https://www.nsf.gov/pubs/2016/nsf16564/nsf16564.htm', 'https://www.nsf.gov/pubs/2019/nsf19596/nsf19596.htm', 'https://www.nsf.gov/pubs/2015/nsf15601/nsf15601.htm', 'https://www.nsf.gov/pubs/2013/nsf13596/nsf13596.htm', 'https://www.nsf.gov/pubs/2019/nsf19525/nsf19525.htm', 'https://www.nsf.gov/pubs/2020/nsf20501/nsf20501.htm', 'https://www.nsf.gov/pubs/2016/nsf16518/nsf16518.htm', 'https://www.nsf.gov/pubs/2017/nsf17517/nsf17517.htm', 'https://www.nsf.gov/pubs/2006/nsf06561/nsf06561.htm', 'https://www.nsf.gov/pubs/2005/nsf05554/nsf05554.htm']",Tanvir Iqbal Farouk,"Associate Professor, Department of Mechanical Engineering, University of South Carolina …",X8Eo1j8AAAAJ,1965,https://scholar.google.com/citations?view_op=medium_photo&user=X8Eo1j8AAAAJ,@sc.edu,"['nsf16564', 'nsf19596', 'nsf15601', 'nsf13596', 'nsf19525', 'nsf20501', 'nsf16518', 'nsf17517', 'nsf06561', 'nsf05554']","[0.8624940514564514, 0.8623820543289185, 0.859352707862854, 0.8500940799713135, 0.842161238193512, 0.8337026834487915, 0.833503246307373, 0.8321196436882019, 0.8240653276443481, 0.8240653276443481]"
47,"Fenner, Stephen A. ","Professor, Computer Science & Engineering",Faculty,"['Professor Fenner s research interests are in the core theoretical foundations of computing computability and computational complexity , especially quantum computing and information .']","['https://www.nsf.gov/pubs/2012/nsf12540/nsf12540.htm', 'https://www.nsf.gov/pubs/2015/nsf15512/nsf15512.htm', 'https://www.nsf.gov/pubs/2017/nsf17548/nsf17548.htm', 'https://www.nsf.gov/pubs/2015/nsf15515/nsf15515.htm', 'https://www.nsf.gov/pubs/2005/nsf05500/nsf05500.htm', 'https://www.nsf.gov/pubs/2004/nsf04520/nsf04520.htm', 'https://www.nsf.gov/pubs/2016/nsf16603/nsf16603.htm', 'https://www.nsf.gov/pubs/2016/nsf16515/nsf16515.htm', 'https://www.nsf.gov/pubs/2018/nsf18564/nsf18564.htm', 'https://www.nsf.gov/pubs/2010/nsf10572/nsf10572.htm']",,,,,,,"['nsf12540', 'nsf15512', 'nsf17548', 'nsf15515', 'nsf05500', 'nsf04520', 'nsf16603', 'nsf16515', 'nsf18564', 'nsf10572']","[0.8779910802841187, 0.8764243125915527, 0.8619497418403625, 0.8553206920623779, 0.8536030054092407, 0.8532612323760986, 0.847657322883606, 0.847657322883606, 0.8429561257362366, 0.8359419107437134]"
48,"Fiedler, Kirk","Associate Professor, Computer Science & Engineering and Moore School of Business ",Faculty,"['Business, computer science']","['https://www.nsf.gov/pubs/2013/nsf13580/nsf13580.htm', 'https://www.nsf.gov/pubs/2015/nsf15574/nsf15574.htm', 'https://www.nsf.gov/pubs/2016/nsf16581/nsf16581.htm', 'https://www.nsf.gov/pubs/2014/nsf14596/nsf14596.htm', 'https://www.nsf.gov/pubs/2018/nsf18570/nsf18570.htm', 'https://www.nsf.gov/pubs/2017/nsf17572/nsf17572.htm', 'https://www.nsf.gov/pubs/2008/nsf08575/nsf08575.htm', 'https://www.nsf.gov/pubs/2002/nsf02189/nsf02189.htm', 'https://www.nsf.gov/pubs/2012/nsf12598/nsf12598.htm']",Kirk Fiedler,"Associate Professor,  Moore School of  Business, University of South Carolina",NYcJt0UAAAAJ,3248,https://scholar.google.com/citations?view_op=medium_photo&user=NYcJt0UAAAAJ,@moore.sc.edu,"['nsf13580', 'nsf15574', 'nsf16581', 'nsf14596', 'nsf18570', 'nsf17572', 'nsf08575', 'nsf02189', 'nsf12598']","[0.8165305852890015, 0.808515191078186, 0.8028982877731323, 0.8028982877731323, 0.8028982877731323, 0.8028982877731323, 0.8028982877731323, 0.8010817766189575, 0.7995362877845764]"
49,"Flora, Joseph",Associate Professor,Faculty,"['Dr . Flora s main research interests are in molecular modeling for environmental reactions , computer modeling of water quality engineering processes , and processes for water quality engineering .']","['https://www.nsf.gov/pubs/2006/nsf06545/nsf06545.htm', 'https://www.nsf.gov/pubs/2013/nsf13531/nsf13531.htm', 'https://www.nsf.gov/pubs/2015/nsf15558/nsf15558.htm', 'https://www.nsf.gov/pubs/2009/nsf09538/nsf09538.htm', 'https://www.nsf.gov/pubs/2020/nsf20560/nsf20560.htm', 'https://www.nsf.gov/pubs/2010/nsf10612/nsf10612.htm', 'https://www.nsf.gov/pubs/2003/nsf03597/nsf03597.htm', 'https://www.nsf.gov/pubs/2006/nsf06563/nsf06563.htm', 'https://www.nsf.gov/pubs/2004/nsf04535/nsf04535.htm', 'https://www.nsf.gov/pubs/2020/nsf20564/nsf20564.htm']",,,,,,,"['nsf06545', 'nsf13531', 'nsf15558', 'nsf09538', 'nsf20560', 'nsf10612', 'nsf03597', 'nsf06563', 'nsf04535', 'nsf20564']","[0.8488467931747437, 0.8418503999710083, 0.8375852108001709, 0.8322152495384216, 0.8295138478279114, 0.8269632458686829, 0.8245458602905273, 0.8238233327865601, 0.8173013925552368, 0.8165900707244873]"
50,"Gadala-Maria, Francis","Distinguished Professor Emeritus, Chemical Engineering",Staff,"['Swearingen Engineering CenterRoom 2C07301 Main StreetColumbia , SC 29208Ph . D . , Stanford University , 1979M . S . , Stanford University , 1974']","['https://www.nsf.gov/pubs/2003/nsf03561/nsf03561.htm', 'https://www.nsf.gov/pubs/2015/nsf15539/nsf15539.htm', 'https://www.nsf.gov/pubs/2003/nsf03562/nsf03562.htm', 'https://www.nsf.gov/pubs/2003/nsf03511/nsf03511.htm', 'https://www.nsf.gov/pubs/2020/nsf20584/nsf20584.htm', 'https://www.nsf.gov/pubs/2011/nsf11507/nsf11507.htm', 'https://www.nsf.gov/pubs/2008/nsf08542/nsf08542.htm', 'https://www.nsf.gov/pubs/2008/nsf08610/nsf08610.htm', 'https://www.nsf.gov/pubs/2009/nsf09607/nsf09607.htm', 'https://www.nsf.gov/pubs/2015/nsf15536/nsf15536.htm']",,,,,,,"['nsf03561', 'nsf15539', 'nsf03562', 'nsf03511', 'nsf20584', 'nsf11507', 'nsf08542', 'nsf08610', 'nsf09607', 'nsf15536']","[0.8064829111099243, 0.8027355670928955, 0.7885261178016663, 0.784294843673706, 0.7784562110900879, 0.7757701873779297, 0.7734236717224121, 0.7709296941757202, 0.7654613256454468, 0.7647345662117004]"
51,"Gassman, Sarah",Associate Professor,Faculty,"['geotechnical, civil, engineering']","['https://www.nsf.gov/pubs/2006/nsf06546/nsf06546.htm', 'https://www.nsf.gov/pubs/2009/nsf09539/nsf09539.htm', 'https://www.nsf.gov/pubs/2017/nsf17554/nsf17554.htm', 'https://www.nsf.gov/pubs/2016/nsf16598/nsf16598.htm', 'https://www.nsf.gov/pubs/2004/nsf04512/nsf04512.htm', 'https://www.nsf.gov/pubs/2006/nsf06563/nsf06563.htm', 'https://www.nsf.gov/pubs/2009/nsf09552/nsf09552.htm', 'https://www.nsf.gov/pubs/2006/nsf06576/nsf06576.htm', 'https://www.nsf.gov/pubs/2003/nsf03567/nsf03567.htm', 'https://www.nsf.gov/pubs/2004/nsf04589/nsf04589.htm']",Sarah Gassman,"Associate Professor, University of South Carolina",Z1gv6PEAAAAJ,1217,https://scholar.google.com/citations?view_op=medium_photo&user=Z1gv6PEAAAAJ,@cec.sc.edu,"['nsf06546', 'nsf09539', 'nsf17554', 'nsf16598', 'nsf04512', 'nsf06563', 'nsf09552', 'nsf06576', 'nsf03567', 'nsf04589']","[0.8533677458763123, 0.8533677458763123, 0.8498106002807617, 0.8498106002807617, 0.8125435709953308, 0.8100452423095703, 0.8092875480651855, 0.8054625988006592, 0.8042458891868591, 0.8042458891868591]"
52,"Gatzke, Edward P.","Associate Professor, Chemical Engineering, Biomedical Engineering",Faculty,"['Swearingen Room 3C05 301 Main Street Columbia , SC 29208Dr . Gatzke s research interests are in the area of process modeling , control , and optimization . Efficient operation of chemical processes requires a fundamental understanding of dynamic and nonlinear characteristics . A variety of controller formulations can be developed to reduce product variability and improve productivity . Estimation and diagnostic methods can be used to develop process information that cannot easily be directly acquired by instrumentation . Recently , new moving horizon formulations involving unknown values taking discrete values have been proposed . These applications require online solution to constrained mixed integer optimization problems . Ongoing research efforts include parallel programming efforts for mixed integer optimization , including parallel nonconvex nonseparable mixed integer outer approximation and parallel nonconvex branch and reduce methods . Application areas of interest include particulate processing , bio processes , and large scale systems .']","['https://www.nsf.gov/pubs/2004/nsf04609/nsf04609.htm', 'https://www.nsf.gov/pubs/2004/nsf04532/nsf04532.htm', 'https://www.nsf.gov/pubs/2017/nsf17548/nsf17548.htm', 'https://www.nsf.gov/pubs/2008/nsf08584/nsf08584.htm', 'https://www.nsf.gov/pubs/2004/nsf04520/nsf04520.htm', 'https://www.nsf.gov/pubs/2010/nsf10614/nsf10614.htm', 'https://www.nsf.gov/pubs/2004/nsf04530/nsf04530.htm', 'https://www.nsf.gov/pubs/2008/nsf08538/nsf08538.htm', 'https://www.nsf.gov/pubs/2007/nsf07504/nsf07504.htm', 'https://www.nsf.gov/pubs/2004/nsf04569/nsf04569.htm']",,,,,,,"['nsf04609', 'nsf04532', 'nsf17548', 'nsf08584', 'nsf04520', 'nsf10614', 'nsf04530', 'nsf08538', 'nsf07504', 'nsf04569']","[0.8141607046127319, 0.8116830587387085, 0.8081280589103699, 0.8047963380813599, 0.8047345876693726, 0.8035088777542114, 0.8014310598373413, 0.7987402081489563, 0.7946510314941406, 0.7920078039169312]"
53,"Gerdes, Jr., John H.",Undergraduate Director / Integrated Information Technology,Faculty,"['Innovation Center550 Assembly Street , Suite 1300Office 1315Columbia , SC 29208Ph . D . , Vanderbilt University , Nashville , Tenn . M . S . , Computer Science , Vanderbilt University , Nashville , Tenn . M . B . A . , Lehigh University , Bethlehem , Pa . M . Eng . , Mechanical Engineering , Cornell University , Ithaca , N . Y . B . S . , Cornell University , Ithaca , N . Y . Dr . John Gerdes is an associate professor in the Department of Integrated Information at the University of South Carolina , Columbia , S . C . He teaches software development , web site development , and database management . Dr . Gerdes holds a B . S . and M . Eng . in Mechanical Engineering from Cornell University , a M . B . A . from Lehigh University , a M . S . in Computer Science from Vanderbilt , and a Ph . D . in Information Systems from Vanderbilt . He has taught at Ohio State University , University of California Riverside , and Jia Tong University , Shanghai , China . His articles have appeared in the Communications of the ACM , Decision Support Systems , Transactions of the IIE , and other journals . He has authored two U . S . Patents , one dealign with measurement of coke temperature , and one for the development of a new public key certificate in support of user privacy . He is currently an associate editor for Electronic Commerce Research and Telecommunications Systems .']","['https://www.nsf.gov/pubs/2004/nsf04012/nsf04012.htm', 'https://www.nsf.gov/pubs/2014/nsf14596/nsf14596.htm', 'https://www.nsf.gov/pubs/2016/nsf16581/nsf16581.htm', 'https://www.nsf.gov/pubs/2018/nsf18570/nsf18570.htm', 'https://www.nsf.gov/pubs/2015/nsf15574/nsf15574.htm', 'https://www.nsf.gov/pubs/2017/nsf17572/nsf17572.htm', 'https://www.nsf.gov/pubs/2013/nsf13580/nsf13580.htm', 'https://www.nsf.gov/pubs/2004/nsf04500/nsf04500.htm', 'https://www.nsf.gov/pubs/2020/nsf20544/nsf20544.htm', 'https://www.nsf.gov/pubs/2006/nsf06517/nsf06517.htm']",,,,,,,"['nsf04012', 'nsf14596', 'nsf16581', 'nsf18570', 'nsf15574', 'nsf17572', 'nsf13580', 'nsf04500', 'nsf20544', 'nsf06517']","[0.8397358059883118, 0.8324759602546692, 0.8324759602546692, 0.8324759602546692, 0.8324759602546692, 0.8324759602546692, 0.83125239610672, 0.8264032602310181, 0.8213218450546265, 0.8195396661758423]"
54,"Gholizadeh, Sona",Research Assistant Professor,Faculty,"['Engineering Education, Higher Education, Systems Analysis']","['https://www.nsf.gov/pubs/2004/nsf04538/nsf04538.htm', 'https://www.nsf.gov/pubs/2008/nsf08610/nsf08610.htm', 'https://www.nsf.gov/pubs/2013/nsf13580/nsf13580.htm', 'https://www.nsf.gov/pubs/2003/nsf03511/nsf03511.htm', 'https://www.nsf.gov/pubs/2003/nsf03523/nsf03523.htm', 'https://www.nsf.gov/pubs/2004/nsf04541/nsf04541.htm', 'https://www.nsf.gov/pubs/2008/nsf08542/nsf08542.htm', 'https://www.nsf.gov/pubs/2008/nsf08508/nsf08508.htm', 'https://www.nsf.gov/pubs/2005/nsf05588/nsf05588.htm', 'https://www.nsf.gov/pubs/2010/nsf10502/nsf10502.htm']",Sona Gholizadeh,University of South Carolina,1Q-cOnwAAAAJ,75,https://scholar.google.com/citations?view_op=medium_photo&user=1Q-cOnwAAAAJ,@cec.sc.edu,"['nsf04538', 'nsf08610', 'nsf13580', 'nsf03511', 'nsf03523', 'nsf04541', 'nsf08542', 'nsf08508', 'nsf05588', 'nsf10502']","[0.8505529165267944, 0.8265016078948975, 0.8196310997009277, 0.8189469575881958, 0.8179149627685547, 0.8179149627685547, 0.8161972761154175, 0.8150655031204224, 0.813605010509491, 0.8131689429283142]"
55,"Gibbons, Joseph H.","Distinguished Professor Emeritus, Chemical Engineering",Staff,"['Ph . D . , University of Pittsburgh , 1961M . S . , University of Pittsburgh , 1958B . S . , University of South Carolina , 1956']","['https://www.nsf.gov/pubs/2018/nsf18564/nsf18564.htm', 'https://www.nsf.gov/pubs/2009/nsf09607/nsf09607.htm', 'https://www.nsf.gov/pubs/2003/nsf03575/nsf03575.htm', 'https://www.nsf.gov/pubs/2016/nsf16543/nsf16543.htm', 'https://www.nsf.gov/pubs/2015/nsf15551/nsf15551.htm', 'https://www.nsf.gov/pubs/2015/nsf15579/nsf15579.htm', 'https://www.nsf.gov/pubs/2016/nsf16566/nsf16566.htm', 'https://www.nsf.gov/pubs/2014/nsf14576/nsf14576.htm', 'https://www.nsf.gov/pubs/2006/nsf06592/nsf06592.htm', 'https://www.nsf.gov/pubs/2005/nsf05601/nsf05601.htm']",,,,,,,"['nsf18564', 'nsf09607', 'nsf03575', 'nsf16543', 'nsf15551', 'nsf15579', 'nsf16566', 'nsf14576', 'nsf06592', 'nsf05601']","[0.8153730034828186, 0.8096362948417664, 0.8096204400062561, 0.8083301782608032, 0.8073157668113708, 0.8066961765289307, 0.8066961765289307, 0.806566596031189, 0.8059900999069214, 0.8059900999069214]"
