id,names,descriptions,titles,research,background,keywords,links,gs_names,affiliation,scholar_id,cited_by,url_pic,email_domain
24,"Berge, Nicole D.","Associate Professor, Civil and Environmental Engineering",Faculty,"['300 Main Street , Room C106Dr . Berge s research focuses on improving our understanding of how physical , chemical , and biological processes can be manipulated to promote sustainable waste treatment techniques that lead to carbon sequestration , energy generation , and or value added product production . Specific areas of exploration include the fate of disposed nanomaterials , pharmaceuticals , personal care products and endocrine disrupting compounds in bioreactor landfills thermochemical conversion of municipal solid waste increasing the energy yield from waste streams resource recovery from waste streams leachate treatment processes and the development and subsequent evaluation of innovative groundwater remediation technologies .']","Dr. Berge's research focuses on improving our understanding of how physical, chemical,
                                 and biological processes can be manipulated to promote sustainable waste treatment
                                 techniques that lead to carbon sequestration, energy generation, and/or value-added
                                 product production. Specific areas of exploration include: the fate of disposed nanomaterials,
                                 pharmaceuticals, personal care products and endocrine disrupting compounds in bioreactor
                                 landfills; thermochemical conversion of municipal solid waste; increasing the energy
                                 yield from waste streams; resource recovery from waste streams; leachate treatment
                                 processes; and the development and subsequent evaluation of innovative groundwater
                                 remediation technologies.
                              ","[""waste"",""streams"",""energy"",""processes"",""treatment""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/berge.php,,,,,,
25,"Besmann, Theodore  M.","Professor and Smart State Chair, Mechanical Engineering",Faculty,"['Nuclear fuel and waste materials'],['Dr . Besmann s research interests are related to thermochemical experiment and modeling for nuclear fuel development and in reactor behavior , and development of advanced nuclear waste forms . This includes measurements of basic thermal properties , development of databases for use in fuel performance codes , and coupling of thermochemical models with other properties within the codes . Hans Conrad zur Loye , Theodore Besmann , Jake Amoroso , Kyle Brinkman , Agn s Grandjean , Charles H . Henager , Shenyang Hu , Scott T . Misture , Simon R . Phillpot , Natalia B . Shustova , Hui Wang , Robert J . Koch , Gregory Morrison , and Ekaterina Dolgopolova , Hierarchical Materials as Tailored Nuclear Waste Forms A Perspective Chem . Mater . 2018 , 30 , 4475 4488Stephen A Utlak , Theodore M . Besmann , Thermodynamic assessment of the pseudoternary Na2O Al2O3 SiO2 system , Journal of the American Ceramic Society , Volume 101 Issue 2 Pages 928 948 2018 .']","Dr. Besmann's research interests are related to thermochemical experiment and modeling
                                    for nuclear fuel development and in-reactor behavior, and development of advanced
                                    nuclear waste forms. This includes measurements of basic thermal properties, development
                                    of databases for use in fuel performance codes, and coupling of thermochemical models
                                    with other properties within the codes.","[""development"",""nuclear"",""besmann"",""properties""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/besmann_theodore.php,Theodore M. Besmann,"Professor and SmartState Chair in Nuclear Engineering, University of South Carolina",XHfTq_gAAAAJ,5645.0,https://scholar.google.com/citations?view_op=medium_photo&user=XHfTq_gAAAAJ,@cec.sc.edu
26,"Bischoff, Jeff ","Adjunct Professor, Mechanical Engineering",Faculty,"['Dr . Bischoff s research and interests include Biomedical Engineering , passive mechanics of soft tissue , theoretical framework for modeling growth in tissue , analysis of structural and constitutive evolution in artificial tissue scaffolding , and constitutive testing and modeling of hypertrophic scars .']","Dr. Bischoff's research and interests include Biomedical Engineering, passive mechanics
                                    of soft tissue, theoretical framework for modeling growth in tissue, analysis of structural
                                    and constitutive evolution in artificial tissue scaffolding, and constitutive testing
                                    and modeling of hypertrophic scars.","[""tissue"",""modeling"",""constitutive""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/bischoff_jeff.php,,,,,,
27,"Blanchette, James  Otto",Instructor,Faculty,"['Room A213300 Main StreetColumbia , SC 29208My research interests fall into the areas of design of cell instructive materials , delivery of therapeutics and tissue engineering . Specific projects include developing responsive delivery systems to expand the spectrum of chemotherapeutics which can be administered orally extending proper function of pancreatic islet cells following transplantation through genetic engineering and design of instructive hydrogel materials tracking hypoxic signaling in three dimensional cell aggregates and transplantation of mesenchymal stem cells to enhance vascularization . Skiles M L , Hanna B , Rucker L , Tipton A , Brougham Cook A and Blanchette J O . ASC spheroid geometry and culture oxygenation differentially impact induction of pre angiogenic behaviors in endothelial cells . Cell Transplantation , 24 11 , 2323 35 , 2015 .']",,"[""cell"",""cells"",""transplantation""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/blanchette.php,,,,,,
28,"Boltin, Nicholas D.",Instructor,Faculty,"['Dr . Boltin s research focuses on developing decision support systems for the healthcare industry . Data Science is an interdisciplinary field that employs techniques from many disciplines such as mathematics , statistics , information science and computer science . The focus of our research is categorized into two broad areas One , to glean information from data utilizing analytical techniques including data mining , statistical analysis , dimension reduction , supervised and unsupervised machine learning , as well as predictive modeling . Two , design and evaluate translational informatic tools created to deploy sophisticated algorithms using the latest in software development and human computer interaction . Boltin N , Culley J , Valafar H Application of Dimensional Reduction and Artificial Neural Networks to Improve Emergency Department Triage during Chemical Mass Casualty Incidents . Article in Press 2018 . Boltin N , Valdes D , Culley JM , Valafar H Mobile Decision Support Tool for Emergency Departments and Mass Casualty Incidents EDIT Initial Study . Jmir Mhealth Uhealth 2018 , 6 6 .']",,"[""boltin"",""science"",""data"",""computer"",""two""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/boltin.php,,,,,,
29,"Booth, Kristen",Assistant Professor,Faculty,"['Power Electronics Reliability, Medium Frequency Transformer Optimization, Power Grid Resiliency'],['Dr . Booth received her B . S . E from Murray State University in 2015 and her M . S . and Ph . D . degrees from North Carolina State University in 2017 and 2019 , respectively . Prior to joining the University of South Carolina , she was a postdoctoral researcher at The Ohio State University in the Center for High Performance Power Electronics . ELCT 551 Power Systems Design and Analysis']","Dr. Booth received her B.S.E from Murray State University in 2015 and her M.S. and
                                 Ph.D. degrees from North Carolina State University in 2017 and 2019, respectively.
                                 Prior to joining the University of South Carolina, she was a postdoctoral researcher
                                 at The Ohio State University in the Center for High Performance Power Electronics.
                              ","[""university"",""state"",""carolina""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/kristenbooth.php,"Kristen (Garcia) Booth, PhD","Assistant Professor, University of South Carolina",NVR6YSQAAAAJ,118.0,https://scholar.google.com/citations?view_op=medium_photo&user=NVR6YSQAAAAJ,@mailbox.sc.edu
34,"Brookshire, Robert G., Ph.D.","Director of Graduate Studies / Professor, Integrated Information Technology ",Faculty,"['Innovation Center550 Assembly Street , Suite 1300Office 1309Columbia , SC 29208Dr . Robert G . Brookshire is a professor in the Integrated Information Technology Department in the College of Engineering and Computing at the University of South Carolina , Columbia , SC . He is the director of the Master of Health Information Technology program . He has taught at New York University , North Texas State University , the University of Virginia , and James Madison University . He is the co author of Using Microcomputers for Research Sage Publications , 1985 , and his articles have appeared in the Journal of Computer Information Systems , BYTE , Social Science Computer Review , Legislative Studies Quarterly , The European Journal of Operational Research , and other journals . He is past president of the Organizational Systems Research Association and editor of the Information Technology , Learning , and Performance Journal from 2001 to 2011 . ITEC 370 Records ManagementITEC 475 Mainframe SystemsITEC 552 Linux Programming and Administration']","Dr. Robert G. Brookshire is a professor in the Integrated Information Technology Department
                                 in the College of Engineering and Computing at the University of South Carolina, Columbia,
                                 SC. He is the director of the Master of Health Information Technology program. He
                                 has taught at New York University, North Texas State University, the University of
                                 Virginia, and James Madison University. He is the co-author of Using Microcomputers
                                 for Research (Sage Publications, 1985), and his articles have appeared in the Journal of Computer Information Systems, BYTE, Social Science Computer Review, Legislative Studies Quarterly, The European Journal of Operational Research, and other journals. He is past president of the Organizational Systems Research
                                 Association and editor of the Information Technology, Learning, and Performance Journal from 2001 to 2011.
                              ","[""university"",""technology"",""research"",""information"",""journal""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/brookshire_robert.php,,,,,,
35,"Broughton, Earnie",Lead Software Developer for VTB/S3D ,Staff,"['Earnie is the Lead Software Developer on the Virtual Test Bed VTB and Smart Ship System Design S3D projects . In addition to writing code , he supervises the daily activities of the development team for both projects , including mentoring students on programming and professional development best practices . Other responsibilities include gathering stakeholder Navy , ESRDC Consortium , and private industry requirements and developing plans for integrating requirements and consortium research into S3D . Education']",,"[""consortium"",""development"",""projects"",""requirements""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/broughtonernie.php,,,,,,
38,"Buell, Duncan A.",Chair Emeritus,Staff,"['Professor Buell s recent work has been in electronic voting systems and in digital humanities . He has been part of a team that is auditing election data in South Carolina and discovering problems in the process that lead to uncounted votes and to the absence of data to support the vote totals certified by the state . In digital humanities , he is co supervising work on Ward One App , a critical interactive for iPhone about urban renewal in Columbia SC and the University of South Carolina s role in evicting residents of the Ward One neighborhood adjacent to the university , and is engaged in the analysis of First Year English essays for linguistic characteristics and improvement of writing pedagogy . Professor Buell s past research interests included the algorithms and architectures for performing computations , such as those in discrete mathematics and text string processing , for which traditional computer architectures oriented toward floating point computations normally perform at a significantly reduced efficiency . One class of such problems are those computational problems in number theory for which fast integer arithmetic , often multiprecision arithmetic , is necessary . Another broad class of problems are those for which custom computing machines were devised . These include bit oriented computations such as those done in string processing , and image processing computations , for which one often needs substantial parallelism , but for which 8 bit or 12 bit arithmetic is often sufficient accuracy . At IDA CCS he directed the Splash 2 project building a custom computing machine that used Xilinx FPGAs as the compute elements and whose applications were programmed in VHDL .']","
Ph. D., University of Illinois - Chicago (1976)
M. A., University of Michigan (1972)
B. S., University of Arizona (1971)
","[""problems"",""university"",""computations"",""one""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/duncanbuell.php,,,,,,
40,"Caicedo, Juan","Department Chair, Civil and Environmental Engineering",Faculty,"['Dr . Caicedo s area of specialization is in Structural Engineering with emphasis in Structural Dynamics . His research interests include both numerical and experimental research in the areas of structural dynamics , model updating , structural health monitoring , earthquake engineering and structural control . Dr . Caicedo is member of the American Society of Civil Engineers , the Earthquake Engineering Research Institute , George E . Brown Jr . Network for Earthquake Engineering Simulation , the Society of Experimental Mechanics and the American Society of Engineering Educators . For a complete list of projects and publications visit the Structural Dynamics and Intelligent Infrastructure Lab website .']",,"[""structural"",""engineering"",""society"",""earthquake"",""dynamics""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/caicedojuan.php,,,,,,
43,"Carrilho, Leo ","Adjunct Professor, Mechanical Engineering",Faculty,"['Dr . Leo Carrilho s research and interests include modeling and simulation of processes and phenomena in structural and thermal hydraulic design of PWR nuclear fuel and core components , using the FEA and the CFD methods .']","Dr. Leo Carrilho’s research and interests include modeling and simulation of processes
                                 and phenomena in structural and thermal-hydraulic design of PWR nuclear fuel and core
                                 components, using the FEA and the CFD methods.
                              ","[""include"",""carrilho"",""phenomena"",""processes"",""structural"",""interests"",""fuel"",""nuclear"",""using""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/carrilho_leo.php,,,,,,
44,"Carver, Wayne","Professor, Cell Biology and Anatomy",Faculty,"['School of Medicine Bldg 1 Room B 15 6439 Garners Ferry Road Columbia , SC 29209The ventricular wall of the heart is composed of contractile muscle cells and non muscle cell types including fibroblasts , endothelial cells and others . These cells are interconnected and supported by an elaborate extracellular matrix . Changes in the density and organization of the extracellular matrix are known to affect cardiovascular performance and have been correlated with heart disease . For instance , excessive accumulation of extracellular matrix or fibrosis is commonly associated with hypertension and myocardial infarction . Increased accumulation of extracellular matrix as seen during fibrosis results in a stiffer myocardium , which alters heart function . The extracellular matrix in the heart is produced largely by cardiac fibroblasts . The research in Dr . Carver s lab is focused on understanding how fibroblast behavior and gene expression are regulated in the heart . We are particularly interested in how chronic exposure to alcohol as seen during alcohol abuse results in myocardial fibrosis . Cell culture and animal models are being used to examine the regulation of fibroblasts in cardiovascular disease .']",,"[""matrix"",""extracellular"",""heart""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/carver.php,,,,,,
45,"Chandrashekhar, MVS","Associate Professor, Electrical Engineering",Faculty,"['Graphene, Chemistry, Plasmonics, SiC, Epitaxy'],['SwearingenRoom 3A14301 Main StreetColumbia , SC 29208']",,"[""main"",""swearingenroom"",""streetcolumbia""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/chandrshekharmvs.php,Mvs Chandrashekhar,University of South Carolina,95JkXJUAAAAJ,5000.0,https://scholar.google.com/citations?view_op=medium_photo&user=95JkXJUAAAAJ,@cec.sc.edu
46,"Chao, Yuh J. ","Distinguished Professor Emeritus, Mechanical Engineering",Faculty,"['Dr . Chao s research and interests include theoretical and experimental studies on failure , fracture and fatigue of materials and structures , welding modeling for residual stress and distortion , impact mechanics for material characterization and failure criterion , biomechanics and nanomechanics , and the durability of PEM fuel cell systems . Cao , Yupeng Qian , Guian He , Yinbiao Niffenegger , Markus Chao , Yuh J , Constraint Assessment for Specimens Tested Under Uniaxial and Biaxial Loading Conditions , ASME Journal of Pressure Vessel Technology , 031401 7 , Vol . 140 , June 2018 . Wang Bo , Zhu Shiyang , Hao Peng , Bi Xiangju , DuKaifan , Chen Bingquan , Ma Xiangtao , Chao Yuh J . , Buckling of quasi perfect cylindrical shell under axial compression A combined experimental and numerical investigation , International Journal of Solids and Structures , 130 131 2018 232 247 .']","Dr. Chao's research and interests include theoretical and experimental studies on
                                    failure, fracture and fatigue of materials and structures, welding modeling for residual
                                    stress and distortion, impact mechanics for material characterization and failure
                                    criterion, biomechanics and nanomechanics, and the durability of PEM fuel cell systems.","[""chao"",""failure"",""experimental"",""structures""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/chao_yuh.php,,,,,,
47,"Chaudhry, Hanif",Mr. and Mrs. Irwin B. Kahn Professor,Faculty,"['Hydraulic Engineering, Water Resources Engineering, Hydraulic Transients'],['Dr . Chaudhry s area of specialization is water resource engineering with emphasis on the mathematical and physical modeling of steady and unsteady flows in closed conduits and open channel . The research interests include both numerical and experimental investigations , such as modeling and laboratory studies on fluid transients in pipelines , on flood flows in rivers and channels , on levee breach , dam failure , and on scour around bridge piers , etc .']",,"[""flows"",""modeling"",""physical"",""fluid"",""breach""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/chaudhryhanif.php,Hanif Chaudhry,University of South Carolina,BPikOxIAAAAJ,8755.0,https://scholar.google.com/citations?view_op=medium_photo&user=BPikOxIAAAAJ,@sc.edu
49,"Chen, Fanglin (Frank)","Associate Chair and Undergraduate Director, Mechanical Engineering",Faculty,"['Dr . Chen s research interests include synthesis and characterization of materials for energy conversion and storage , catalysis and electrocatalysis , composition , structure property relationship , ionic and electronic conducting ceramics , solid oxide fuel cells , solid oxide electrolysis cells , and gas separation membranes .']","Dr. Chen’s research interests include synthesis and characterization of materials
                                 for energy conversion and storage, catalysis and electrocatalysis, composition, structure
                                 & property relationship, ionic and electronic conducting ceramics, solid oxide fuel
                                 cells, solid oxide electrolysis cells, and gas separation membranes.
                              ","[""solid"",""oxide"",""cells""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/chen_frank.php,,,,,,
50,"Chen, Yinchao","Associate Professor, Electrical Engineering",Faculty,"['SwearingenRoom 3A34301 Main StreetColumbia , SC 29208']",,"[""swearingenroom"",""main"",""streetcolumbia""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/chenyinchao.php,,,,,,
51,"Chen, Yuche",Assistant Professor,Faculty,"['AI-augmented simulation, emerging technologies, data sensing and analytics'],['Dr . Chen s current research interests include 1 Data driven traffic operations and demand management , 2 Model prediction and optimization of cyber physical systems in smart and connected communities , 3 Machine learning based eco driving assistant system , 4 Transportation air quality and health impacts of exposure . Dr . Chen is broadly interested in data driven decision making under uncertainty , empirical model prediction and validation with applications to transportation systems . Dr . Chen is the Chair of research subcommittee of Environmental Analysis in Transportation ADC10 and a member of Automated Transit System AP020 committee in Transportation Research Board , National Academy of Sciences in United States . He received Outstanding Achievement Award from Department of Energy in 2017 .']","Dr. Chen’s current research interests include (1) Data-driven traffic operations and
                                 demand management), (2) Model prediction and optimization of cyber-physical systems
                                 in smart and connected communities, (3) Machine learning based eco-driving assistant
                                 system, (4) Transportation air quality and health impacts of exposure. Dr. Chen is
                                 broadly interested in data-driven decision making under uncertainty, empirical model
                                 prediction and validation with applications to transportation systems. Dr. Chen is
                                 the Chair of research subcommittee of Environmental Analysis in Transportation (ADC10)
                                 and a member of Automated Transit System (AP020) committee in Transportation Research
                                 Board, National Academy of Sciences in United States. He received Outstanding Achievement
                                 Award from Department of Energy in 2017.
                              ","[""transportation"",""research"",""chen""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/yuchechen.php,Yuche Chen,"Department of Civil and Environmental Engineering, University of South Carolina",mHb_lpAAAAAJ,743.0,https://scholar.google.com/citations?view_op=medium_photo&user=mHb_lpAAAAAJ,@cec.sc.edu
52,"Cheng, Xu","Adjunct Professor, Mechanical Engineering",Faculty,"['Prof . Cheng has over 25 years research experience and about 10 years teaching experience . Currently he is professor at Karlsruhe Institute of Technology KIT in Germany and at Shanghai Jiao Tong University SJTU in China , and Director of the Division of Innovative Nuclear Systems at KIT . He has supervised or is supervising more than 20 PhD students in both KIT and SJTU and gives 4 lectures for both undergraduate and Master students . He has published over 100 papers . His main research fields are nuclear thermal hydraulics and nuclear safety .']","Prof. Cheng has over 25 years research experience and about 10 years teaching experience.
                                    Currently he is professor at Karlsruhe Institute of Technology (KIT) in Germany and
                                    at Shanghai Jiao Tong University (SJTU) in China, and Director of the Division of
                                    Innovative Nuclear Systems at KIT. He has supervised or is supervising more than 20
                                    PhD students in both KIT and SJTU and gives 4 lectures for both undergraduate and
                                    Master students. He has published over 100 papers. His main research fields are nuclear
                                    thermal-hydraulics and nuclear safety.","[""nuclear"",""kit"",""years"",""experience""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/cheng_xu.php,,,,,,
53,"Cole, Casey",Instructor,Faculty,"['Computational Biology, Bioinformatics']",,,https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/colecasey.php,Casey A. Cole,"Researcher, University of South Carolina",ObIr5GgAAAAJ,75.0,https://scholar.google.com/citations?view_op=medium_photo&user=ObIr5GgAAAAJ,@email.sc.edu
54,"Coman, Paul",Post-Doctoral Fellow,Staff,"['thermodynamics, Li-ion safety'],['Swearingen Engineering CenterRoom 2B51301 Main StreetColumbia , SC 29208Ph . D . , University of Southern Denmark Engineering Science M . Sc . Eng . , University of Southern Denmark Thermal Energy B . Sc . Eng . , Technical University of Iasi Materials Science and EngineeringDevelopment of mathematical modeling for improving the performance and safety in Li ion batteries']",,"[""university"",""southern"",""science"",""eng"",""denmark""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/paul_coman.php,Paul T Coman,University of South Carolina,Joho1yUAAAAJ,303.0,https://scholar.google.com/citations?view_op=medium_photo&user=Joho1yUAAAAJ,@cec.sc.edu
55,"Crichigno, Jorge",Associate Professor,Faculty,"['P4 programmable switches, Science DMZs, IoT Security'],['Ph . D . , Computer Engineering , University of New MexicoM . Sc . , Electrical and Computer Engineering , University of New MexicoB . Sc . , Electrical Engineering , Catholic University , Asuncion']","Ph.D., Computer Engineering, University of New Mexico","[""engineering"",""university"",""computer"",""new""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/jorge_crichigno.php,Jorge Crichigno,University of South Carolina,ivtsNWgAAAAJ,946.0,https://scholar.google.com/citations?view_op=medium_photo&user=ivtsNWgAAAAJ,@cec.sc.edu
