pid,agency,agencyId,title,deadline,reference,budget,details,oneLiner,keywords
95,nsf,nsf05589,EPSCoR Research Infrastructure Improvement Grant Program RII Trajectory Toward Sustainable Scientific Success,9/16/2005,https://www.nsf.gov/pubs/2005/nsf05589/nsf05589.htm,"18,000,000",The Experimental Program to Stimulate Competitive Research EPSCoR is a program designed to fulfill the National Science Foundation s NSF mandate to promote scientific progress nationwide . The EPSCoR program is directed at those jurisdictions that have historically received lesser amounts of NSF Research and Development R D funding . Twenty five states the Commonwealth of Puerto Rico and the U . S . Virgin Islands currently participate . Through this program NSF establishes partnerships with government higher education and industry that are designed to effect lasting improvements in a region jurisdiction s research infrastructure R D capacity and hence its national R D competitiveness . Research infrastructure improvement RII Grants are 36 or 48 month awards of up to a total of 9 million to support infrastructure improvements in research areas selected by the jurisdiction s EPSCoR governing committee as having the best potential to improve future R D competitiveness .,Through this program NSF establishes partnerships with government higher education and industry that are designed to effect lasting improvements in a region jurisdiction s research infrastructure R D capacity and hence its national R D competitiveness .,"[""o"",""research"",""infrastructure"",""program"",""esearch""]"
96,nsf,nsf04564,EPSCoR Research Infrastructure Improvement Grant Program RII,7/19/2004,https://www.nsf.gov/pubs/2004/nsf04564/nsf04564.htm,12,The Experimental Program to Stimulate Competitive Research EPSCoR is a program designed to fulfill the National Science Foundation s NSF mandate to promote scientific progress nationwide . The EPSCoR program is directed at those jurisdictions that have historically received lesser amounts of NSF Research and Development R D funding . Twenty four states the Commonwealth of Puerto Rico and the U . S . Virgin Islands currently participate . Through this program NSF establishes partnerships with leaders in the state government higher education and industry designed to effect lasting improvements in a jurisdiction s research infrastructure and its national R D competitiveness .,Through this program NSF establishes partnerships with leaders in the state government higher education and industry designed to effect lasting improvements in a jurisdiction s research infrastructure and its national R D competitiveness .,"[""program"",""o"",""he""]"
97,nsf,nsf06583,EPSCoR Research Infrastructure Improvement Grant Program RII Trajectory Toward Sustainable Scientific Success,10/6/2006,https://www.nsf.gov/pubs/2006/nsf06583/nsf06583.htm,,The Experimental Program to Stimulate Competitive Research EPSCoR is a program designed to fulfill the National Science Foundation s NSF mandate to promote scientific progress nationwide . The EPSCoR program is directed at those jurisdictions that have historically received lesser amounts of NSF Research and Development R D funding . Twenty five states the Commonwealth of Puerto Rico and the U . S . Virgin Islands currently participate . Through this program NSF establishes partnerships with government higher education and industry that are designed to effect lasting improvements in a region jurisdiction s research infrastructure R D capacity and hence its national R D competitiveness . Research infrastructure improvement RII Grants are 36 or 48 month awards of up to a total of 9 million to support infrastructure improvements in research areas selected by the jurisdiction s EPSCoR governing committee as having the best potential to improve future R D competitiveness .,Through this program NSF establishes partnerships with government higher education and industry that are designed to effect lasting improvements in a region jurisdiction s research infrastructure R D capacity and hence its national R D competitiveness .,"[""infrastructure"",""program"",""o"",""esearch""]"
100,nsf,nsf03593,International Materials Institutes IMI Toward an International Materials Research Network,12/1/2003,https://www.nsf.gov/pubs/2003/nsf03593/nsf03593.htm,"2,200,000",The National Science Foundation supports International Materials Institutes IMIs in order to enhance international collaboration between U . S . researchers and educators and their counterparts worldwide . These Institutes advance fundamental materials research by coordinating international research and education projects involving condensed matter and materials physics solid state and materials chemistry and the design synthesis characterization and processing of materials to meet global and regional needs . The Institutes must be university based and provide a research environment that will attract leading scientists and engineers . The Institutes long term goal is the creation of a worldwide network in materials research and the development of a new generation of scientists and engineeers with enhanced international leadership capabilities . A critically important aspect of an IMI is its potential impact on advancing materials research on an international scale and developing an internationally competitive generation of materials researchers and this distinguishes an IMI from other materials research centers that NSF supports . Representative activities of an IMI may include for example identifying areas of important and innovative research for joint collaborative programs organizing and coordinating international exchange programs establishing mechanisms for long term international collaborations among academia industrial and government agencies and laboratories organizing international workshops on materials research and education and coordinating international research experiences for students and postdoctoral scholars developing internet based resources with video capabilities for international conferencing and learning developing and supporting a materials research network that will provide access to research and education resources such as searchable databases publications facilities instruments and experts enhancing public awareness of economic and societal contributions by materials researchers and partnering with states private foundations industry national laboratories international organizations other universities centers and national facilities to accomplish the stated goals of the IMI .,The Institutes long term goal is the creation of a worldwide network in materials research and the development of a new generation of scientists and engineeers with enhanced international leadership capabilities .,"[""international"",""research"",""materials""]"
101,nsf,nsf08558,International Materials Institutes IMI Toward an International Materials Research Network,7/15/2008,https://www.nsf.gov/pubs/2008/nsf08558/nsf08558.htm,"$4,000,000 to $5,000,000",The National Science Foundation supports International Materials Institutes IMIs in order to enhance international collaboration between U . S . researchers and educatorsand their counterparts worldwide . These Institutes advance fundamental materials research bycoordinating international research and education projects involving condensed matter and materialsphysics solid state and materials chemistry polymers metals ceramics electronic materials biomaterials and in general the design synthesis and characterization of and phenomena inmaterials to meet global and regional needs . The Institutes must be university based and provide aresearch environment that will attract leading scientists and engineers . The Institutes long termgoal is the creation of a worldwide network in materials research and the developmentof a generation of scientists and engineers with enhanced international leadershipcapabilities . A critically important aspect of an IMI is its potential impacton advancing materials research on an international scale and developing an internationallycompetitive generation of materials researchers and this distinguishes an IMI from othermaterials research centers that NSF supports . Representative activities of an IMI may include for example identifying areas of important andinnovative research for joint collaborative programs organizing and coordinating internationalexchange programs establishing mechanisms for long term international collaborations amongacademia industrial and government agencies and laboratories organizing international workshops onmaterials research and education and coordinating international research experiences for studentsand postdoctoral scholars developing internet based resources with video capabilities forinternational conferencing and learning developing and supporting a materials research network thatwill provide access to research and education resources such as searchable databases publications facilities instruments and experts enhancing global public awareness of economic and societalcontributions by materials researchers and partnering with states private foundations industry national laboratories international organizations other universities centers and nationalfacilities to accomplish the stated goals of the IMI . Through the new Cyber enabled Discovery and Innovation CDI initiative NSF is committed todevelopment and deployment of tools and techniques for remote collaboration sharing of data remotecontrol of instrumentation and development of virtual organizations that are not constrained bygeography . NSF also recognizes the importance of cyber tools for promoting and maintainingpartnerships that transcend national boundaries . The IMI program is especially well positionedto benefit from the ideas embodied in CDI and IMI proposals that incorporate those ideas areencouraged .,"The Institutes long termgoal is the creation of a worldwide network in materials research and the developmentof a generation of scientists and engineers with enhanced international leadershipcapabilities .
A critically important aspect of an IMI is its potential impacton advancing materials research on an international scale and developing an internationallycompetitive generation of materials researchers and this distinguishes an IMI from othermaterials research centers that NSF supports .","[""research"",""materials"",""international""]"
103,nsf,nsf04538,Mathematical Sciences Innovations at the Interface with the Sciences and Engineering,,https://www.nsf.gov/pubs/2004/nsf04538/nsf04538.htm,"18,660,000",This solicitation describes many of the opportunities available for support through the Foundation s Mathematical Sciences Priority Area MSPA . Investments in the Mathematical Sciences will deepen support for fundamental research in mathematics and statistics and the integration of mathematical and statistical research across the full range of science and engineering disciplines . Initial investments in interdisciplinary research will focus primarily on mathematical and statistical challenges posed by large data sets managing and modeling uncertainty and modeling complex nonlinear systems . Innovative educational activities that foster closer connections between research and education in the mathematical sciences will also be supported . In FY2004 a set of focused competitions will be supported these are described or referenced in this solicitation .,This solicitation describes many of the opportunities available for support through the Foundation s Mathematical Sciences Priority Area MSPA .,"[""research"",""mathematical"",""athematical"",""supported"",""ciences""]"
104,nsf,nsf05622,Mathematical Sciences Innovations at the Interface with the Physical and Computer Sciences and Engineering,12/20/2005,https://www.nsf.gov/pubs/2005/nsf05622/nsf05622.htm,"15,400,000",This solicitation describes the opportunities available for support through the Foundation s Mathematical Sciences Priority Area in the following three categories Interactions between Mathematical Sciences and Computer Science MSPA MCS Interactions between Mathematical Sciences and Engineering MSPA ENG Interactions between Mathematical Sciences and Physical Sciences MSPA MPS Other Opportunities supported through the Mathematical Sciences Priority Area are described in other existing solicitations . They are listed below for information and completeness of the existing competitions in the Mathematical Sciences Priority Area . Investigators interested in the following competitions should consult with the specific solicitations listed below Collaborations in the Mathematical Geosciences CMG see https www . nsf . gov publications pub summ . jsp ? ods key nsf05535Joint DMS BIO NIGMS Initiative to Support Research in the Area of Mathematical Biology see https www . nsf . gov publications pub summ . jsp ? ods key nsf04572Focused Research Groups in the Mathematical Sciences FRG see https www . nsf . gov publications pub summ . jsp ? ods key nsf02129Enhancing the Mathematical Sciences Workforce in the 21st Century EMSW21 see https www . nsf . gov publications pub summ . jsp ? ods key nsf05595Interdisciplinary Training for Undergraduates in Biological and Mathematical Sciences UBM see https www . nsf . gov publications pub summ . jsp ? ods key nsf04546Mathematical Social and Behavioral Sciences MSBS see https www . nsf . gov publications pub summ . jsp ? ods key nsf05542Investments in the Mathematical Sciences Priority Area will deepen support for fundamental research in mathematics and statistics and the integration of mathematical and statistical research across the full range of science and engineering disciplines . Investments in interdisciplinary research will focus primarily on mathematical and statistical challenges posed by large data sets managing and modeling uncertainty and modeling complex nonlinear systems . Innovative educational activities that foster closer connections between research and education in the mathematical sciences will also be supported .,"They are listed below for information and completeness of the existing competitions in the Mathematical Sciences Priority Area .
Investigators interested in the following competitions should consult with the specific solicitations listed below Collaborations in the Mathematical Geosciences CMG see https www .
ods key nsf05535Joint DMS BIO NIGMS Initiative to Support Research in the Area of Mathematical Biology see https www .
ods key nsf04572Focused Research Groups in the Mathematical Sciences FRG see https www .
ods key nsf02129Enhancing the Mathematical Sciences Workforce in the 21st Century EMSW21 see https www .","[""ciences"",""athematical"",""ods"",""gov"",""key""]"
106,nsf,nsf03591,NSF Director s Award for Distinguished Teaching Scholars DTS,2/25/2004,https://www.nsf.gov/pubs/2003/nsf03591/nsf03591.htm,"1,800,000",The National Science Foundation NSF seeks to promote improvement in the education of those who study science technology engineering or mathematics STEM . The NSF Director s Award for Distinguished Teaching Scholars DTS recognizes and rewards individuals who have contributed significantly to the scholarship of their discipline and to the education of students in STEM and exemplify the ability to engage productively in both research and education . DTS is part of NSF s efforts to foster an academic culture that values a scholarly approach to both research and education . The Director s Award is the highest honor bestowed by the NSF for excellence in both teaching and research in STEM fields or in educational research related to these disciplines . The awards will be conferred at a special ceremony recognizing the awardees .,The NSF Director s Award for Distinguished Teaching Scholars DTS recognizes and rewards individuals who have contributed significantly to the scholarship of their discipline and to the education of students in STEM and exemplify the ability to engage productively in both research and education .,"[""he"",""education"",""research""]"
107,nsf,nsf04594,NSF Director s Award for Distinguished Teaching Scholars DTS,2/9/2005,https://www.nsf.gov/pubs/2004/nsf04594/nsf04594.htm,"1,800,000",The National Science Foundation NSF seeks to promote improvement in the education of those who study science technology engineering or mathematics STEM . The NSF Director s Award for Distinguished Teaching Scholars DTS recognizes and rewards individuals who have contributed significantly to the scholarship of their discipline and to the education of students in STEM and exemplify the ability to integrate their research and educational activities . DTS is part of NSF s efforts to foster an academic culture that values a scholarly approach to both research and education . The Director s Award is the highest honor bestowed by the NSF for excellence in both teaching and research in STEM fields or in educational research related to these disciplines . The awards will be conferred at a special ceremony recognizing the awardees .,The NSF Director s Award for Distinguished Teaching Scholars DTS recognizes and rewards individuals who have contributed significantly to the scholarship of their discipline and to the education of students in STEM and exemplify the ability to integrate their research and educational activities .,"[""he"",""education"",""research""]"
109,nsf,nsf05566,Partnerships for Innovation PFI FY 2005,6/3/2005,https://www.nsf.gov/pubs/2005/nsf05566/nsf05566.htm,"9,000,000",The goals of the Partnerships for Innovation Program are to 1 stimulate the transformation of knowledge created by the national research and education enterprise into innovations that create new wealth build strong local regional and national economies and improve the national well being 2 broaden the participation of all types of academic institutions and all citizens in NSF activities to more fully meet the broad workforce needs of the national innovation enterprise and 3 catalyze or enhance enabling infrastructure necessary to foster and sustain innovation in the long term . To develop a set of ideas for pursuing these goals this competition will support 15 25 promising partnerships among academe state local federal government and the private sector that will explore new approaches to support and sustain innovation .,,"[""national"",""innovation"",""new"",""support"",""sustain""]"
110,nsf,nsf04556,Partnerships for Innovation PFI FY 2004,5/17/2004,https://www.nsf.gov/pubs/2004/nsf04556/nsf04556.htm,"600,000",The goals of the Partnerships for Innovation Program are to 1 stimulate the transformation of knowledge created by the national research and education enterprise into innovations that create new wealth build strong local regional and national economies and improve the national well being 2 broaden the participation of all types of academic institutions and all citizens in NSF activities to more fully meet the broad workforce needs of the national innovation enterprise and 3 catalyze or enhance enabling infrastructure necessary to foster and sustain innovation in the long term . To develop a set of ideas for pursuing these goals this competition will support 15 25 promising partnerships among academe state local federal government and the private sector that will explore new approaches to support and sustain innovation .,,"[""national"",""new"",""support"",""innovation"",""sustain"",""goals""]"
